,athlete_id,athlete_name,athlete_link
0,6550324,Claire Graves,https://www.tfrrs.org/athletes/6550324/Boise_State/Claire_Graves.html
1,6988115,Katharina Pesendorfer,https://www.tfrrs.org/athletes/6988115/Tulsa/Katharina_Pesendorfer.html
2,5956977,Julia Guerra,https://www.tfrrs.org/athletes/5956977/Penn_State/Julia_Guerra.html
3,6419763,Olivia  Hummel,https://www.tfrrs.org/athletes/6419763/Minnesota/Olivia__Hummel.html
4,6504307,Erin Sullivan,https://www.tfrrs.org/athletes/6504307/Notre_Dame_IN/Erin_Sullivan.html
5,5976316,Jena Metwalli,https://www.tfrrs.org/athletes/5976316/Michigan/Jena_Metwalli.html
6,5962971,Hannah DeBalsi,https://www.tfrrs.org/athletes/5962971/Stanford/Hannah_DeBalsi.html
7,7388751,Madison Edwards,https://www.tfrrs.org/athletes/7388751/Air_Force/Madison_Edwards.html
8,6467711,Maria Eastman,https://www.tfrrs.org/athletes/6467711/Minnesota/Maria_Eastman.html
9,6600910,Maddie Cannon,https://www.tfrrs.org/athletes/6600910/BYU/Maddie_Cannon.html
10,6427856,Hannah Waskom,https://www.tfrrs.org/athletes/6427856/Washington/Hannah_Waskom.html
11,6151293,Lindsey Rudden,https://www.tfrrs.org/athletes/6151293/Michigan_State/Lindsey_Rudden.html
12,7396828,Keely  Jones,https://www.tfrrs.org/athletes/7396828/Tulsa/Keely__Jones.html
13,6419769,Tate Sweeney,https://www.tfrrs.org/athletes/6419769/Minnesota/Tate_Sweeney.html
14,6910596,Lydia Hallam,https://www.tfrrs.org/athletes/6910596/New_Mexico/Lydia_Hallam.html
15,7371415,Ava Peeples,https://www.tfrrs.org/athletes/7371415/Florida_State/Ava_Peeples.html
16,7388052,Adoette Vaughan,https://www.tfrrs.org/athletes/7388052/Arkansas/Adoette_Vaughan.html
17,6587176,Delaney Rasmussen,https://www.tfrrs.org/athletes/6587176/Northern_Arizona/Delaney_Rasmussen.html
18,6887134,Philippa Bowden,https://www.tfrrs.org/athletes/6887134/Oregon/Philippa_Bowden.html
19,5537651,Karrigan Smith,https://www.tfrrs.org/athletes/5537651/Michigan_State/Karrigan_Smith.html
20,7384086,Ember Stratton,https://www.tfrrs.org/athletes/7384086/BYU/Ember_Stratton.html
21,7364608,Kileigh Kane,https://www.tfrrs.org/athletes/7364608/Penn_State/Kileigh_Kane.html
22,7376708,Gia Napolean,https://www.tfrrs.org/athletes/7376708/Ohio_State/Gia_Napolean.html
23,6418356,Caroline Fix,https://www.tfrrs.org/athletes/6418356/Illinois/Caroline_Fix.html
24,7046390,Katie Osika,https://www.tfrrs.org/athletes/7046390/Michigan_State/Katie_Osika.html
25,6436296,Raquel Powers,https://www.tfrrs.org/athletes/6436296/Michigan/Raquel_Powers.html
26,7046628,Emma Sjolund,https://www.tfrrs.org/athletes/7046628/Northern_Arizona/Emma_Sjolund.html
27,6877087,Elizabeth Constien,https://www.tfrrs.org/athletes/6877087/Colorado/Elizabeth_Constien.html
28,7389433,Brenda Rosales-Coria,https://www.tfrrs.org/athletes/7389433/New_Mexico/Brenda_Rosales-Coria.html
29,6418359,Katie Stapleton,https://www.tfrrs.org/athletes/6418359/Illinois/Katie_Stapleton.html
30,6932510,Maya Rayle,https://www.tfrrs.org/athletes/6932510/Harvard/Maya_Rayle.html
31,6576236,Camille  Davre,https://www.tfrrs.org/athletes/6576236/Michigan/Camille__Davre.html
32,6023151,Anna Busatto,https://www.tfrrs.org/athletes/6023151/Utah/Anna_Busatto.html
33,6438907,Alondra Negron,https://www.tfrrs.org/athletes/6438907/New_Mexico/Alondra_Negron.html
34,7366521,Samantha Bush,https://www.tfrrs.org/athletes/7366521/North_Carolina_St/Samantha_Bush.html
35,6882597,Sadie Sargent,https://www.tfrrs.org/athletes/6882597/BYU/Sadie_Sargent.html
