,athlete_id,meet_name,meet_date,meet_link,meet_distance,meet_time,meet_place
0,6550324,2018 Sundodger Invitational,2018-09-08 00:00:00,https://www.tfrrs.org/results/xc/13986/2018_Sundodger_Invitational,6k,21:42.9,15th
1,6550324,44th Charles Bowles Willamette Invitational,2018-09-29 00:00:00,https://www.tfrrs.org/results/xc/13430/44th_Charles_Bowles_Willamette_Invitational,5k,17:22.0,5th
2,6550324,Inland Empire Challenge,2018-10-13 00:00:00,https://www.tfrrs.org/results/xc/13570/Inland_Empire_Challenge,5k,17:16.0,1st
3,6550324,Mountain West Cross Country Championship ,2018-10-26 00:00:00,https://www.tfrrs.org/results/xc/13979/Mountain_West_Cross_Country_Championship_,6k,21:40.5,20th
4,6550324,Bill Dellinger Invitational,2019-09-28 00:00:00,https://www.tfrrs.org/results/xc/15307/Bill_Dellinger_Invitational,6k,20:35.5,29th
5,6550324,Nuttycombe Invitational,2019-10-18 00:00:00,https://www.tfrrs.org/results/xc/16583/Nuttycombe_Invitational,6k,21:16.6,98th
6,6550324,Mountain West Championships,2019-11-01 00:00:00,https://www.tfrrs.org/results/xc/16659/Mountain_West_Championships,6k,20:54.0,17th
7,6550324,NCAA Division I West Region Cross Country Championships,2019-11-15 00:00:00,https://www.tfrrs.org/results/xc/16722/NCAA_Division_I_West_Region_Cross_Country_Championships,6k,21:27.6,88th
8,6550324,NCAA Division I Cross Country Championships,2019-11-23 00:00:00,https://www.tfrrs.org/results/xc/16731/NCAA_Division_I_Cross_Country_Championships,6k,DNS,
9,6550324,Silver State Collegiate Challenge,2021-02-01 00:00:00,https://www.tfrrs.org/results/xc/17581/Silver_State_Collegiate_Challenge,6k,22:15.6,18th
10,6550324,Battle Born Collegiate Challenge,2021-02-19 00:00:00,https://www.tfrrs.org/results/xc/17527/Battle_Born_Collegiate_Challenge,6k,22:59.9,100th
11,6988115,Rhodes College Cross Country Invitational ,2019-09-21 00:00:00,https://www.tfrrs.org/results/xc/15773/Rhodes_College_Cross_Country_Invitational_,6k,21:48.7,10th
12,6988115,Chile Pepper XC Fesitval,2019-10-05 00:00:00,https://www.tfrrs.org/results/xc/16417/Chile_Pepper_XC_Fesitval,5k,17:56.1,63rd
13,6988115,Nuttycombe Invitational,2019-10-18 00:00:00,https://www.tfrrs.org/results/xc/16583/Nuttycombe_Invitational,6k,22:18.8,214th
14,6988115,2019 American Athletic Conference XC Championships,2019-11-01 00:00:00,https://www.tfrrs.org/results/xc/16681/2019_American_Athletic_Conference_XC_Championships,6k,21:01.8,12th
15,6988115,NCAA Division I Midwest Region Cross Country Championships,2019-11-15 00:00:00,https://www.tfrrs.org/results/xc/16577/NCAA_Division_I_Midwest_Region_Cross_Country_Championships,6k,22:18.8,81st
16,6988115,NCAA Division I Cross Country Championships,2019-11-23 00:00:00,https://www.tfrrs.org/results/xc/16731/NCAA_Division_I_Cross_Country_Championships,6k,DNS,
17,6988115,American Conference XC Championships,2021-02-06 00:00:00,https://www.tfrrs.org/results/xc/17595/American_Conference_XC_Championships,6k,21:25.3,6th
18,6988115,OSU Winter Open,2021-02-23 00:00:00,https://www.tfrrs.org/results/xc/17634/OSU_Winter_Open,6k,22:29.6,7th
19,6988115,NCAA DI Cross Country Championships,2021-03-15 00:00:00,https://www.tfrrs.org/results/xc/17712/NCAA_DI_Cross_Country_Championships,6k,22:11.4,180th
20,6988115,Cowboy Jamboree,2021-09-18 00:00:00,https://www.tfrrs.org/results/xc/17910/Cowboy_Jamboree,6k,21:50.7,20th
21,6988115,Chile Pepper XC Festival,2021-10-01 00:00:00,https://www.tfrrs.org/results/xc/18884/Chile_Pepper_XC_Festival,5k,17:20.1,12th
22,6988115,Wisconsin Nuttycombe Invitational,2021-10-15 00:00:00,https://www.tfrrs.org/results/xc/19087/Wisconsin_Nuttycombe_Invitational,6k,21:31.8,137th
23,6988115,American Athletic Conference,2021-10-29 00:00:00,https://www.tfrrs.org/results/xc/19206/American_Athletic_Conference,6k,21:36.9,7th
24,6988115,NCAA Division I Midwest Region Cross Country Championships,2021-11-12 00:00:00,https://www.tfrrs.org/results/xc/18929/NCAA_Division_I_Midwest_Region_Cross_Country_Championships,6k,21:17.1,22nd
25,6988115,Cowboy Preview,2022-09-01 00:00:00,https://www.tfrrs.org/results/xc/19303/Cowboy_Preview,3k,11:02.1,20th
26,6988115,Cowboy Jamboree,2022-09-24 00:00:00,https://www.tfrrs.org/results/xc/19304/Cowboy_Jamboree,6k,22:07.4,112th
27,6988115,American Athletic Conference,2022-10-28 00:00:00,https://www.tfrrs.org/results/xc/21145/American_Athletic_Conference,6k,20:58.6,4th
28,6988115,NCAA Division I Midwest Region Cross Country Championships,2022-11-11 00:00:00,https://www.tfrrs.org/results/xc/21220/NCAA_Division_I_Midwest_Region_Cross_Country_Championships,6k,21:04.8,46th
29,6988115,Cowboy Preview,2023-09-01 00:00:00,https://www.tfrrs.org/results/xc/21514/Cowboy_Preview,3k,11:12.0,25th
30,6988115,Sean Earl Loyola Lakefront Invitational,2023-09-29 00:00:00,https://www.tfrrs.org/results/xc/21787/Sean_Earl_Loyola_Lakefront_Invitational,6k,21:22.3,76th
31,6988115,Nuttycombe Invite,2023-10-13 00:00:00,https://www.tfrrs.org/results/xc/23113/Nuttycombe_Invite,6k,22:14.6,26th
32,6988115,2023 American Athletic Conference XC Championships,2023-10-28 00:00:00,https://www.tfrrs.org/results/xc/23164/2023_American_Athletic_Conference_XC_Championships,6k,21:35.4,18th
33,6988115,NCAA Division I Midwest Region Cross Country Championships,2023-11-10 00:00:00,https://www.tfrrs.org/results/xc/23308/NCAA_Division_I_Midwest_Region_Cross_Country_Championships,6k,22:26.7,103rd
34,5956977,Dolan Duals,2016-09-02 00:00:00,https://www.tfrrs.org/results/xc/10122/Dolan_Duals,4k,14:18.3,6th
35,5956977,Penn State vs Syracuse,2016-09-10 00:00:00,https://www.tfrrs.org/results/xc/10736/Penn_State_vs_Syracuse,6k,24:12.8,20th
36,5956977,Penn State vs Cornell,2016-09-10 00:00:00,https://www.tfrrs.org/results/xc/10738/Penn_State_vs_Cornell,6k,24:12.8,25th
37,5956977,Penn State vs Georgetown,2016-09-10 00:00:00,https://www.tfrrs.org/results/xc/10739/Penn_State_vs_Georgetown,6k,24:12.8,18th
38,5956977,Penn State vs St Joseph,2016-09-10 00:00:00,https://www.tfrrs.org/results/xc/10741/Penn_State_vs_St_Joseph,6k,24:12.8,17th
39,5956977,Penn State vs Rutgers,2016-09-10 00:00:00,https://www.tfrrs.org/results/xc/10742/Penn_State_vs_Rutgers,6k,24:12.8,17th
